"Faqs Information","Faqs Information"
"Question","Question"
"Answer","Answer"
"Identifier","Identifier"
"Select Topic","Select Topic"
"Tags","Tags"
"Show on main page","Show on main page"
"Faq Order","Faq Order"
"Change Status","Change Status"
"Topic Information","Topic Information"
"Title","Title"
"Sort Order","Sort Order"
"Topic Image","Topic Image"
"Search results for: ","Search results for: "
"The faq has been deleted.","The faq has been deleted."
"We can\'t find a faq to delete.","We can\'t find a faq to delete."
"Manage Faqs","Manage Faqs"
"This record no longer exists.","This record no longer exists."
"New Faqs","New Faqs"
"Import and Export Faqs","Import and Export Faqs"
"The faqs have been imported.","The faqs have been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the item.","Something went wrong while saving the item."
"The topic has been deleted.","The topic has been deleted."
"We can\'t find a topic to delete.","We can\'t find a topic to delete."
"Manage Topic","Manage Topic"
"New Topic","New Topic"
"Manage Faq Topics","Manage Faq Topics"
"Product Faqs","Product Faqs"
"Manage Topics","Manage Topics"
"Manage Import/Export","Manage Import/Export"
"Product Faqs Section","Product Faqs Section"
